Date,Imsaku,Sabahu,Lindja,Dreka,Ikindia,Akshami,Jacia,Festat,Shenime
1-Jan,5:21,5:41,7:03,11:44,14:05,16:21,18:00,,Hëna e re
2-Jan,5:21,5:41,7:03,11:45,14:06,16:21,18:00,Nata e Regaibit,Nata e Regaibit
3-Jan,5:20,5:40,7:02,11:45,14:06,16:22,18:00,,e Xhuma
4-Jan,5:20,5:40,7:02,11:45,14:06,16:23,18:01,,
5-Jan,5:20,5:40,7:02,11:45,14:07,16:24,18:02,,
6-Jan,5:20,5:40,7:02,11:46,14:08,16:25,18:03,,
7-Jan,5:20,5:40,7:01,11:46,14:08,16:26,18:04,,
8-Jan,5:20,5:40,7:01,11:46,14:09,16:27,18:05,,
9-Jan,5:20,5:40,7:01,11:47,14:10,16:28,18:06,,
10-Jan,5:19,5:39,7:00,11:47,14:11,16:29,18:07,,e Xhuma
11-Jan,5:19,5:39,7:00,11:47,14:12,16:30,18:07,,
12-Jan,5:19,5:39,7:00,11:48,14:13,16:31,18:08,,
13-Jan,5:19,5:39,7:00,11:48,14:14,16:33,18:10,,
14-Jan,5:19,5:39,7:00,11:49,14:15,16:34,18:11,,Hëna e plotë
15-Jan,5:19,5:39,7:00,11:50,14:16,16:35,18:12,,
16-Jan,5:19,5:39,6:59,11:50,14:17,16:36,18:13,,
17-Jan,5:18,5:38,6:59,11:50,14:18,16:37,18:14,,e Xhuma
18-Jan,5:18,5:38,6:59,11:51,14:19,16:39,18:15,,
19-Jan,5:18,5:38,6:58,11:51,14:20,16:40,18:16,,
20-Jan,5:18,5:38,6:58,11:52,14:21,16:41,18:17,,
21-Jan,5:17,5:37,6:57,11:52,14:22,16:42,18:18,,
22-Jan,5:17,5:37,6:56,11:52,14:23,16:44,18:19,,
23-Jan,5:17,5:37,6:55,11:52,14:24,16:45,18:20,,
24-Jan,5:16,5:36,6:54,11:53,14:25,16:46,18:21,,e Xhuma
25-Jan,5:15,5:35,6:53,11:53,14:26,16:47,18:22,,
26-Jan,5:14,5:34,6:52,11:53,14:27,16:49,18:23,Nata e Miraxhit,Nata e Miraxhit
27-Jan,5:14,5:34,6:51,11:54,14:29,16:50,18:24,,
28-Jan,5:13,5:33,6:50,11:54,14:30,16:51,18:25,,
29-Jan,5:12,5:32,6:49,11:54,14:31,16:53,18:27,,
30-Jan,5:12,5:32,6:48,11:54,14:32,16:54,18:28,,
31-Jan,5:11,5:31,6:47,11:54,14:33,16:55,18:29,,Hëna e re-Hamsini
1-Feb,5:10,5:30,6:46,11:54,14:34,16:57,18:30,,
2-Feb,5:09,5:29,6:45,11:54,14:35,16:58,18:31,,
3-Feb,5:08,5:28,6:44,11:54,14:36,16:59,18:32,,
4-Feb,5:07,5:27,6:43,11:54,14:37,17:00,18:33,,
5-Feb,5:06,5:26,6:42,11:54,14:38,17:02,18:34,,
6-Feb,5:05,5:25,6:41,11:54,14:39,17:03,18:35,,
7-Feb,5:03,5:23,6:39,11:54,14:40,17:04,18:36,,e Xhuma
8-Feb,5:02,5:22,6:38,11:54,14:41,17:05,18:37,,
9-Feb,5:01,5:21,6:37,11:54,14:42,17:07,18:39,,
10-Feb,4:59,5:19,6:36,11:54,14:43,17:08,18:40,,
11-Feb,4:58,5:18,6:35,11:54,14:44,17:10,18:42,,
12-Feb,4:57,5:17,6:33,11:54,14:45,17:11,18:43,,
13-Feb,4:56,5:16,6:32,11:54,14:46,17:13,18:45,Nata e Beratit,Nata e Beratit
14-Feb,4:55,5:15,6:31,11:55,14:48,17:14,18:46,,e Xhuma -Hëna e plotë
15-Feb,4:54,5:14,6:29,11:55,14:49,17:16,18:48,,
16-Feb,4:53,5:13,6:28,11:55,14:50,17:17,18:49,,
17-Feb,4:51,5:11,6:27,11:55,14:51,17:18,18:50,,Dita e Pavarësisë
18-Feb,4:50,5:10,6:25,11:54,14:51,17:19,18:51,,
19-Feb,4:49,5:09,6:23,11:54,14:52,17:21,18:52,,Xhemra I në ajër
20-Feb,4:48,5:08,6:22,11:54,14:53,17:22,18:53,,
21-Feb,4:46,5:06,6:20,11:54,14:54,17:23,18:54,,e Xhuma
22-Feb,4:44,5:04,6:18,11:54,14:55,17:25,18:56,,
23-Feb,4:43,5:03,6:17,11:54,14:56,17:26,18:57,,
24-Feb,4:41,5:01,6:15,11:53,14:57,17:27,18:58,,
25-Feb,4:40,5:00,6:13,11:53,14:57,17:28,18:58,,Xhemra II në ujë
26-Feb,4:39,4:59,6:11,11:52,14:58,17:29,18:59,,
27-Feb,4:37,4:57,6:08,11:51,14:58,17:30,19:00,,
28-Feb,4:36,4:56,6:06,11:51,14:59,17:31,19:01,Nata e Ramazanit,e Xhuma-Nata e Ramazanit-Tervia e parë
1-Mar,4:34,4:54,6:04,11:51,14:59,17:33,19:03,Dita I Ramazan,Dita e parë e Ramazanit-Hëna e re
